No. Faktur;Tgl Faktur;Keterangan Barang;Kuantitas;Unit 1 Barang; Jumlah ;Keterangan;
CASH.02.082025.3516;20 Agu 2025;CETOK MINI;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3516;20 Agu 2025;MATABOR HITAM NACHI 3 MM;3.00;PCS; 63,000.00 ;;
CASH.02.082025.3516;20 Agu 2025;SELANG TIMBANG 3/8 P BESAR;4.00;MTR; 16,000.00 ;;
CASH.02.082025.3517;20 Agu 2025;"KUAS ETERNA 2 1/2""";1.00;PCS; 11,000.00 ;;
CASH.02.082025.3517;20 Agu 2025;NO DROP 010 ABU MUDA @1KG;1.00;KLG; 56,000.00 ;;
CASH.02.082025.3518;20 Agu 2025;"KUAS BIASA 3""";2.00;PCS; 12,000.00 ;;
CASH.02.082025.3518;20 Agu 2025;SEMEN ACIAN TR-30 @40KG;1.00;ZAK; 102,000.00 ;;
CASH.02.082025.3519;20 Agu 2025;DINABOL 10X77;10.00;PCS; 30,000.00 ;;
CASH.02.082025.3519;20 Agu 2025;PVC PIPA METERAN 2 C;1.00;MTR; 20,000.00 ;;
CASH.02.082025.3519;20 Agu 2025;"KENI 2"" D MSP";1.00;PCS; 5,000.00 ;;
CASH.02.082025.3519;20 Agu 2025;"KENI 3""";1.00;PCS; 10,000.00 ;;
CASH.02.082025.3522;20 Agu 2025;"BALLVALVE PVC OKE 3/4""";1.00;PCS; 23,000.00 ;;
CASH.02.082025.3522;20 Agu 2025;SEALTAPE AIR;5.00;PCS; 15,000.00 ;;
CASH.02.082025.3522;20 Agu 2025;POMPA AIR SHIMITZU PS-135E;1.00;PCS; 595,000.00 ;;
CASH.02.082025.3523;20 Agu 2025;CALSIUM DSGM/GUNUNG MES 800;1.00;SAK; 45,000.00 ;;
CASH.02.082025.3524;20 Agu 2025;PHILIPS LED 14.5 W;1.00;PCS; 56,000.00 ;;
CASH.02.082025.3524;20 Agu 2025;PHILIPS LED 10 W;1.00;PCS; 44,000.00 ;;
CASH.02.082025.3524;20 Agu 2025;KANEBO;1.00;PCS; 20,000.00 ;;
CASH.02.082025.3525;20 Agu 2025;LEM TALANG PERFEKT 5CM X 1M;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3526;20 Agu 2025;SEMEN HITAM 5 KG AN;1.00;BKS; 13,000.00 ;;
CASH.02.082025.3527;20 Agu 2025;BENANG NAT IKAT;2.00;PCS; 10,000.00 ;;
CASH.02.082025.3527;20 Agu 2025;KENI 3 D MASP;7.00;PCS; 84,000.00 ;;
CASH.02.082025.3527;20 Agu 2025;"KENI 3""";1.00;PCS; 10,000.00 ;;
CASH.02.082025.3527;20 Agu 2025;SELANG TIMBANG 5/16 BESAR;10.00;MTR; 40,000.00 ;;
CASH.02.082025.3528;20 Agu 2025;HAK ANGIN RRT 10;1.00;PSG; 8,000.00 ;;
CASH.02.082025.3528;20 Agu 2025;"ENGSEL VALOR 4""";1.00;PSG; 12,000.00 ;;
CASH.02.082025.3531;20 Agu 2025;PYLOX 116 DEEP BLUE;1.00;PCS; 30,000.00 ;;
CASH.02.082025.3532;20 Agu 2025;LEM SILICONE NORTON/ISCO/GP(ASAM) BLACK;1.00;PCS; 25,000.00 ;;
CASH.02.082025.3533;20 Agu 2025;MATA GERGAJI SANDFLEX 24 TPI;1.00;PCS; 15,000.00 ;;
CASH.02.082025.3536;20 Agu 2025;KRAN PVC DOLPHIN 1/2;1.00;PCS; 13,000.00 ;;
CASH.02.082025.3538;20 Agu 2025;MELAMINE MEDAN PUTIH;1.00;LBR; 115,000.00 ;;
CASH.02.082025.3539;20 Agu 2025;PVC 20MM RIFENG/RIIFO;2.00;LJR; 22,000.00 ;;
CASH.02.082025.3544;20 Agu 2025;"PAKU 3""";5.00;KG; 80,000.00 ;;
CASH.02.082025.3545;20 Agu 2025;LEM SILICONE GP/NORTON(ASAM) CLEAR;1.00;PCS; 25,000.00 ;;
CASH.02.082025.3545;20 Agu 2025;LEM SILICONE NORTON/ISCO/GP(ASAM) BLACK;3.00;PCS; 75,000.00 ;;
CASH.02.082025.3546;20 Agu 2025;BIO DS DECOMPOSING @1 LITER;1.00;PCS; 32,000.00 ;;
CASH.02.082025.3549;20 Agu 2025;ASBES GELOMBANG KECIL 240;9.00;LBR; 558,000.00 ;;
CASH.02.082025.3553;20 Agu 2025;AFUR STAINLESS YARCO;1.00;PCS; 8,000.00 ;;
CASH.02.082025.3557;20 Agu 2025;SEMEN BATA RINGAN UZIN 50 KG;1.00;ZAK; 73,000.00 ;;
CASH.02.082025.3557;20 Agu 2025;SEMEN TIGA RODA PCC 40KG;1.00;ZAK; 53,000.00 ;;
CASH.02.082025.3558;20 Agu 2025;"KUAS BIASA 3""";1.00;PCS; 6,000.00 ;;
CASH.02.082025.3558;20 Agu 2025;PARAGON PUTIH @1 KG;1.00;KLG; 36,000.00 ;;
CASH.02.082025.3558;20 Agu 2025;TRIPLEK 3 MM;1.00;LBR; 51,000.00 ;;
CASH.02.082025.3560;20 Agu 2025;AMPLAS TEMPEL 240;10.00;PCS; 7,500.00 ;;
CASH.02.082025.3564;20 Agu 2025;BALLVALVE PVC ONDA POLOS 3/4;2.00;PCS; 56,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;STEKER LOYAL PUTIH;1.00;PCS; 11,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;KLEM KABEL 10 BIASA;1.00;PAK; 9,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;TERMINAL LOYAL LB. 4;1.00;PCS; 22,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;KABEL NYM 2X2.5 ETERNA ECERAN;8.00;MTR; 136,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;SOK DRAT LUAR 1/2X3/4;2.00;PCS; 6,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;"PVC RUCIKA 2"" D";2.00;LJR; 114,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;"PVC RUCIKA 3"" D";2.00;LJR; 198,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;"PVC RUCIKA 3/4"" AW";2.00;LJR; 62,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;"KENI 2"" D MSP";4.00;PCS; 20,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;"KENI 3""";6.00;PCS; 60,000.00 ;;
CASH.02.082025.3564;20 Agu 2025;TEE 2 D MSP;1.00;PCS; 6,000.00 ;;
CASH.02.082025.3565;20 Agu 2025;KLEM SELANG 3/4;4.00;PCS; 8,000.00 ;;
CASH.02.082025.3565;20 Agu 2025;REGULATOR LPG WINN GAS W118 + METER;2.00;PCS; 176,000.00 ;;
CASH.02.082025.3566;20 Agu 2025;SEMEN MERDEKA;5.00;ZAK; 230,000.00 ;;
CASH.02.082025.3568;20 Agu 2025;DEMPUL ALFAGLOS GALON;1.00;GLN; 129,500.00 ;;
CASH.02.082025.3571;20 Agu 2025;KABEL NYM ETERNA 2X2.5 100M;1.00;ROL; 1,412,000.00 ;;
CASH.02.082025.3572;20 Agu 2025;"KENI 3/4"" RUCIKA";5.00;PCS; 20,000.00 ;;
CASH.02.082025.3572;20 Agu 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3572;20 Agu 2025;TEE 3/4 MASP;1.00;PCS; 5,000.00 ;;
CASH.02.082025.3573;20 Agu 2025;LEM RAJAWALI PVAC;1.00;PCS; 19,000.00 ;;
CASH.02.082025.3576;20 Agu 2025;NIPPON ELASTEX @1KG GREY;1.00;KLG; 55,000.00 ;;
CASH.02.082025.3577;20 Agu 2025;PAKU BETON PUTIH 2;2.00;DOS; 20,000.00 ;;
CASH.02.082025.3577;20 Agu 2025;EMCO PUTIH;1.00;KLG; 75,000.00 ;;
CASH.02.082025.3577;20 Agu 2025;SEKRUP HOLLO 1 1/4 KOTAK KCL;1.00;KTK; 50,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;BENANG NAT IKAT;1.00;PCS; 5,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;"KENI 3/4"" RUCIKA";5.00;PCS; 20,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;PAKU BETON PUTIH 21/2;1.00;DOS; 10,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;"KENI DRAT 1/2"" MASPION";1.00;PCS; 4,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;TUTUP POLOS 1/2 MASPION;3.00;PCS; 9,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;"TUTUP POLOS 3/4""";1.00;PCS; 3,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;"TEE 1/2""";1.00;PCS; 3,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;"TEE 3/4""";1.00;PCS; 3,000.00 ;;
CASH.02.082025.3578;20 Agu 2025;VERLOP SOK 1/2X3/4 MSP;2.00;PCS; 6,000.00 ;;
CASH.02.082025.3579;20 Agu 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.02.082025.3579;20 Agu 2025;NEPTUNE VERNIS ACRYLIC GLOSS;1.00;KLG; 105,000.00 ;;
CASH.02.082025.3581;20 Agu 2025;"PAKU 2""";0.10;KG; 3,000.00 ;;
CASH.02.082025.3584;20 Agu 2025;HCL;3.00;PCS; 36,000.00 ;;
CASH.02.082025.3586;20 Agu 2025;PYLOX 101 RED;1.00;PCS; 30,000.00 ;;
CASH.02.082025.3587;20 Agu 2025;PLASBAND 5 CM;1.00;MTR; 13,000.00 ;;
CASH.02.082025.3587;20 Agu 2025;"PAKU PAYUNG ULIR PENDEK 3""";0.25;KG; 12,000.00 ;;
CASH.02.082025.3600;20 Agu 2025;KASA PERBAN GYPSUM + LEM;1.00;PCS; 6,000.00 ;;
CASH.02.082025.3600;20 Agu 2025;CORNICE A PLUS @20 KG;1.00;ZAK; 65,000.00 ;;
CASH.02.082025.3601;20 Agu 2025;KABEL TIES 3.6X250 HTM;1.00;PAK; 20,000.00 ;;
CASH.02.082025.3601;20 Agu 2025;KABEL TIES 2.5x200 PTH;1.00;PAK; 11,000.00 ;;
CASH.02.082025.3602;20 Agu 2025;SELANG SUPERFLEX 1/2;2.00;MTR; 16,000.00 ;;
CASH.02.082025.3603;20 Agu 2025;SERAT FIBER;3.00;LBR; 9,000.00 ;;
CASH.02.082025.3603;20 Agu 2025;"KUAS ETERNA 3""";1.00;PCS; 13,000.00 ;;
CASH.02.082025.3603;20 Agu 2025;AQUAPROOF ABU @1 KG;1.00;KLG; 57,000.00 ;;
CASH.02.082025.3604;20 Agu 2025;GEMBOK TOP 25 MM;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3604;20 Agu 2025;RANTAI ANJING 35mm;1.00;PCS; 15,000.00 ;;
CASH.02.082025.3607;20 Agu 2025;"KUAS ETERNA 2""";1.00;PCS; 9,000.00 ;;
CASH.02.082025.3607;20 Agu 2025;MOWILEX WOOD FILLER JATI;1.00;KLG; 55,000.00 ;;
CASH.02.082025.3608;20 Agu 2025;KUAS ROL ACE BIRU 10MM;1.00;PCS; 32,000.00 ;;
CASH.02.082025.3608;20 Agu 2025;PARAGON PUTIH METRO @5 KG;2.00;GLN; 250,000.00 ;;
CASH.02.082025.3609;20 Agu 2025;SUMPEL BAK PVC N/SAKURA PINK;1.00;PCS; 5,000.00 ;;
CASH.02.082025.3610;20 Agu 2025;"PAKU 1""";0.25;KG; 7,000.00 ;;
CASH.02.082025.3610;20 Agu 2025;"PAKU 1 1/2""";0.25;KG; 6,000.00 ;;
CASH.02.082025.3610;20 Agu 2025;KAWAT LOKET HIJAU PVC 1/2;4.00;MTR; 40,000.00 ;;
CASH.02.082025.3612;20 Agu 2025;"PVC WINLON 3/4"" AW";1.00;LJR; 29,000.00 ;;
CASH.02.082025.3614;20 Agu 2025;ISOLASI KERTAS TANGGUNG;1.00;PCS; 4,000.00 ;;
CASH.02.082025.3614;20 Agu 2025;"KUAS BIASA 1""";2.00;PCS; 6,000.00 ;;
CASH.02.082025.3614;20 Agu 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 11,000.00 ;;
CASH.02.082025.3615;20 Agu 2025;EMCO HITAM @1/4 KG;1.00;KLG; 30,000.00 ;;
CASH.02.082025.3617;20 Agu 2025;PYLOX 1716 BLUE PURPLE;1.00;PCS; 30,000.00 ;;
CASH.02.082025.3618;20 Agu 2025;LEM PVC ISARPLAS TUBE 45 GRAM;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3619;20 Agu 2025;"PAKU 2""";5.00;KG; 80,000.00 ;;
CASH.02.082025.3620;20 Agu 2025;CLOSED DUDUK INA PUTIH + TUTUP INA SET;1.00;PCS; 645,000.00 ;;
CASH.02.082025.3621;20 Agu 2025;DINABOL 10X50;15.00;PCS; 30,000.00 ;;
CASH.02.082025.3622;20 Agu 2025;SEKRUP HOLLO 1 1/4 KOTAK KCL;1.00;KTK; 50,000.00 ;;
CASH.02.082025.3624;20 Agu 2025;MAWAR 1001 SUPER WHITE;1.00;GLN; 65,000.00 ;;
CASH.02.082025.3625;20 Agu 2025;SEMEN BATA RINGAN A-PLUS 40 KG;1.00;ZAK; 65,000.00 ;;
CASH.02.082025.3627;20 Agu 2025;"SUMPEL BAK STAINLESS 1 1/4""";1.00;PCS; 25,000.00 ;;
CASH.02.082025.3628;20 Agu 2025;BTR CITICON 10 CM PJG 60;0.12;M3; 100,000.00 ;;
CASH.02.082025.3628;20 Agu 2025;SEMEN GRESIK PPC 40KG;1.00;ZAK; 57,000.00 ;;
CASH.02.082025.3629;20 Agu 2025;VINILEX SUPER EXTERIOR BASE T @5KG;1.00;GLN; 243,000.00 ;;
CASH.02.082025.3631;20 Agu 2025;LEM SILICONE NETRAL BLACK;1.00;PCS; 32,000.00 ;;
CASH.02.082025.3631;20 Agu 2025;WD CUTTING 105X1.2X16;3.00;PCS; 12,000.00 ;;
CASH.02.082025.3631;20 Agu 2025;THINNER B BOTOL 1 LTR;1.00;KLG; 20,000.00 ;;
CASH.02.082025.3631;20 Agu 2025;ALTEX ZINC CHROMATE BLACK;1.00;KLG; 63,000.00 ;;
CASH.02.082025.3631;20 Agu 2025;REFILL KUAS ROL MINIROLLER 110 MM ACE;1.00;PCS; 10,000.00 ;;
CASH.02.082025.3632;20 Agu 2025;AQUAPROOF PUTIH @1 KG;1.00;KLG; 57,000.00 ;;
CASH.02.082025.3633;20 Agu 2025;LEM DEXTONE 5 MENIT;1.00;PCS; 18,000.00 ;;
CASH.02.082025.3634;20 Agu 2025;BENANG BOL;1.00;PCS; 3,000.00 ;;
CASH.02.082025.3635;20 Agu 2025;"AFUR FLO 5""";1.00;PCS; 100,000.00 ;;
CASH.02.082025.3636;20 Agu 2025;BAUT DRILLING 5 CM;40.00;PCS; 20,000.00 ;;
CASH.02.082025.3637;20 Agu 2025;KAYU MERANTI 3/5;5.00;BTG; 145,000.00 ;;
CASH.02.082025.3638;20 Agu 2025;PARAGON 393 CREAM @1 KG;1.00;KLG; 36,000.00 ;;
CASH.02.082025.3638;20 Agu 2025;PARAGON 326* SOFT TEA @1 KG;1.00;KLG; 36,000.00 ;;
CASH.02.082025.3639;20 Agu 2025;NITROLUX 100 GR 117 LEMON YELLOW;1.00;PCS; 16,000.00 ;;
CASH.02.082025.3639;20 Agu 2025;THINNER B BOTOL 1/2 L;1.00;KLG; 11,000.00 ;;
CASH.02.082025.3640;20 Agu 2025;TUTUP POLOS 1/2 MASPION;1.00;PCS; 3,000.00 ;;
CASH.02.082025.3640;20 Agu 2025;TUTUP POLOS 3/4 MSP;1.00;PCS; 4,000.00 ;;
CASH.02.082025.3642;20 Agu 2025;TALANG KARET HIJAU 90 KOI EDO;1.50;MTR; 34,500.00 ;;
CASH.02.082025.3645;20 Agu 2025;SERAT FIBER;5.00;LBR; 15,000.00 ;;
CASH.02.082025.3645;20 Agu 2025;AQUAPROOF ABU @4 KG;1.00;GLN; 206,000.00 ;;
CASH.02.082025.3651;20 Agu 2025;BENANG BOL;1.00;PCS; 3,000.00 ;;
CASH.02.082025.3652;20 Agu 2025;KABEL NYM 2X2.5 ETERNA ECERAN;4.00;MTR; 68,000.00 ;;
CASH.02.082025.3652;20 Agu 2025;LEM RAJAWALI PVAC;3.00;PCS; 57,000.00 ;;
FJ-0825-000035;20 Agu 2025;TRIPLEK 12 MM;1.00;LBR; 135,000.00 ;LUNAS;
FJ-0825-000036;20 Agu 2025;PAKU BETON PUTIH 11/4;1.00;DOS; 10,000.00 ;NK DIBAWA;
FJ-0825-000036;20 Agu 2025;TALANG GALVALUM 0.25X60;8.50;MTR; 195,500.00 ;NK DIBAWA;
FJ-0825-000037;20 Agu 2025;KENI 3 D MASP;2.00;PCS; 24,000.00 ;RP.232.000;
FJ-0825-000037;20 Agu 2025;"PVC RUCIKA 3"" D";2.00;LJR; 198,000.00 ;RP.232.000;
FJ-0825-000038;20 Agu 2025;CALSIUM DSGM/GUNUNG MES 800;50.00;SAK; 2,150,000.00 ;NK;
FJ-0825-000190;20 Agu 2025;TIMBA HIJAU TC-15 BAGUS;5.00;PCS; 35,000.00 ;LUNAS DIBAWA ;
FJ-0825-000190;20 Agu 2025;LEM PVC ISCO TUBE;1.00;PCS; 7,000.00 ;LUNAS DIBAWA ;
FJ-0825-000190;20 Agu 2025;"PVC RUCIKA 3/4"" AW";2.00;LJR; 62,000.00 ;LUNAS DIBAWA ;
FJ-0825-000191;20 Agu 2025;BESI 8 SNI (7.6X12) / 7.5 SRTF;5.00;LJR; 205,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;BENDRAT SPR Q;1.00;KG; 20,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;BTR FOCON/PLATINUM 10CM;1.50;M3; 915,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;LOSTER PUTIH BINTANG+KOTAK;4.00;PCS; 60,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;SEMEN BATA RINGAN A-PLUS 40 KG;1.00;ZAK; 65,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;PASIR LUMAJANG;0.50;M3; 265,000.00 ;LUNAS + OPER;
FJ-0825-000191;20 Agu 2025;SEMEN GRESIK PPC 40KG;5.00;ZAK; 285,000.00 ;LUNAS + OPER;
FJ-0825-000192;20 Agu 2025;BTR JAYABRIX 10 CM PJG 60;1.00;M3; 550,000.00 ;RP. 550.000;
FJ-0825-000193;20 Agu 2025;BATA BIASA / SEKAM;600.00;PCS; 450,000.00 ;LUNAS;
FJ-0825-000193;20 Agu 2025;SEMEN TIGA RODA PCC 40KG;3.00;ZAK; 159,000.00 ;LUNAS;
FJ-0825-000194;20 Agu 2025;BTR JAYABRIX 10 CM PJG 60;2.00;M3; 1,160,000.00 ;LUNAS;
FJ-0825-000194;20 Agu 2025;BIS BETON 60 LUAR 70;1.00;PCS; 120,000.00 ;LUNAS;
FJ-0825-000194;20 Agu 2025;LEM RAJAWALI PVAC;2.00;PCS; 38,000.00 ;LUNAS;
FJ-0825-000194;20 Agu 2025;SEMEN ACIAN TR-30 @40KG;2.00;ZAK; 204,000.00 ;LUNAS;
FJ-0825-000195;20 Agu 2025;LEM RAJAWALI PVAC;2.00;PCS; 38,000.00 ;LUNAS;
FJ-0825-000195;20 Agu 2025;SEMEN ACIAN TR-30 @40KG;2.00;ZAK; 204,000.00 ;LUNAS;
FJ-0825-000196;20 Agu 2025;CORAL 1X2;1.40;M3; 530,000.00 ;RP.1.060.000;
FJ-0825-000196;20 Agu 2025;SEMEN TIGA RODA PCC 40KG;10.00;ZAK; 530,000.00 ;RP.1.060.000;
FJ-0825-000197;20 Agu 2025;AMPLAS ROL 120;5.00;MTR; 35,000.00 ;NK DIBAWA;
FJ-0825-000198;20 Agu 2025;CORAL 1X2;1.40;M3; 530,000.00 ;LUNAS;
FJ-0825-000198;20 Agu 2025;SEMEN BATA RINGAN A-PLUS 40 KG;6.00;ZAK; 390,000.00 ;LUNAS;
FJ-0825-000199;20 Agu 2025;CLOSED JONGKOK INA BIRU;1.00;PCS; 225,000.00 ;LUNAS;
FJ-0825-000199;20 Agu 2025;PINTU PVC TSUNAMI COKELAT;1.00;PCS; 255,000.00 ;LUNAS;
FJ-0825-000199;20 Agu 2025;CLOSED MONOBLOK INA PUTIH CX100;1.00;SET; 1,100,000.00 ;LUNAS;
FJ-0825-000200;20 Agu 2025;GALVALUM GELOMBANG 0.3X200;8.00;LBR; 512,000.00 ;LUNAS;
FJ-0825-000214;20 Agu 2025;PASIR KEDIRI;0.60;M3; 155,000.00 ;RP.326.000;
FJ-0825-000214;20 Agu 2025;SEMEN GRESIK PPC 40KG;3.00;ZAK; 171,000.00 ;RP.326.000;
FJ-0825-000215;20 Agu 2025;SOK 3/4 MASP;6.00;PCS; 12,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;ISOLASI KERTAS TANGGUNG;1.00;PCS; 4,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;VERLOP RING 1/2X3/4 STAINLESS;1.00;PCS; 10,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;SEALTAPE AIR;3.00;PCS; 9,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;BALLVALVE PVC ONDA POLOS 3/4;4.00;PCS; 112,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;AQUAPROOF ABU @4 KG;1.00;GLN; 206,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;FITING TEMPEL PUTIH BROCO;2.00;PCS; 20,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;LEM RAJAWALI PVAC;2.00;PCS; 38,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;KENI 1 1/4 D;2.00;PCS; 8,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;KLEM PVC 3/4;10.00;PCS; 20,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;TEMPAT SABUN 11X22 MAROON;1.00;PCS; 30,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;SEMEN GRESIK PPC 40KG;5.00;ZAK; 285,000.00 ;LUNAS;
FJ-0825-000215;20 Agu 2025;WATERMUR 3/4 POLOS MSP;2.00;PCS; 16,000.00 ;LUNAS;
FJ-0825-000216;20 Agu 2025;"PVC RUCIKA 2"" D";1.00;LJR; 57,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;"PVC RUCIKA 1"" AW";1.00;LJR; 42,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;"PVC RUCIKA 3/4"" AW";1.00;LJR; 31,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;PASIR KEDIRI;0.60;M3; 170,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;"KENI 2"" D RUCIKA";4.00;PCS; 32,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;"KENI 1"" RUCIKA";2.00;PCS; 16,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;TEE 2 D RUCIKA;2.00;PCS; 18,000.00 ;RP.596.000 TGU TF;
FJ-0825-000216;20 Agu 2025;SEMEN MERDEKA;5.00;ZAK; 230,000.00 ;RP.596.000 TGU TF;
FJ-0825-000217;20 Agu 2025;TRIPLEK 3 MM;12.00;LBR; 612,000.00 ;LUNAS BSK 085925713330;
FJ-0825-000218;20 Agu 2025;MATA GERGAJI SANDFLEX 24 TPI;1.00;PCS; 18,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;LEM ISARPLAS 400 GRAM;2.00;KLG; 120,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;KLEM GANTUNG TEBAL 21/2;50.00;PCS; 650,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;DINASET UK 8 ECERAN;50.00;PCS; 175,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;"PVC WAVIN 4"" D";10.00;LJR; 1,570,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;"PVC RUCIKA 3"" D";5.00;LJR; 497,500.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;MUR 8MM;50.00;PCS; 25,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;"KENI 4""";10.00;PCS; 200,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;"KENI 4"" 45 DERAJAT RUCIKA";10.00;PCS; 500,000.00 ;NK TGU BRG;
FJ-0825-000218;20 Agu 2025;"TEE 4""";6.00;PCS; 162,000.00 ;NK TGU BRG;
FJ-0825-000219;20 Agu 2025;GYPSUM A PLUS 120X240;3.00;LBR; 150,000.00 ;RP.729.000 BSK;
FJ-0825-000219;20 Agu 2025;HOLLO G TUBE 4X4X0.4;3.00;LJR; 99,000.00 ;RP.729.000 BSK;
FJ-0825-000219;20 Agu 2025;PARAGON PUTIH @20 KG;1.00;PIL; 470,000.00 ;RP.729.000 BSK;
FJ-0825-000220;20 Agu 2025;BATA BIASA / SEKAM;200.00;PCS; 130,000.00 ;NK SDH DIAMBIL;
FJ-0825-000220;20 Agu 2025;SEMEN PLESTER BP 201 @40 KG;2.00;ZAK; 104,000.00 ;NK SDH DIAMBIL;
FJ-0825-000261;20 Agu 2025;SEMEN TIGA RODA PCC 40KG;50.00;ZAK; 2,700,000.00 ;NK;
FJ-0825-000262;20 Agu 2025;BTR CITICON 10 CM PJG 60;1.00;M3; 670,000.00 ;RP.800.000;
FJ-0825-000262;20 Agu 2025;SEMEN BATA RINGAN A-PLUS 40 KG;2.00;ZAK; 130,000.00 ;RP.800.000;
FJ-0825-000264;20 Agu 2025;BTR JAYABRIX 10 CM PJG 60;0.12;M3; 100,000.00 ;RP.342.000;
FJ-0825-000264;20 Agu 2025;PASIR KEDIRI;0.60;M3; 185,000.00 ;RP.342.000;
FJ-0825-000264;20 Agu 2025;SEMEN GRESIK PPC 40KG;1.00;ZAK; 57,000.00 ;RP.342.000;
FJ-0825-000265;20 Agu 2025;SAPU LIDI;1.00;PCS; 15,000.00 ;NK;
FJ-0825-000265;20 Agu 2025;SAPU IJUK;1.00;PCS; 29,000.00 ;NK;
FJ-0825-000265;20 Agu 2025;PASIR LUMAJANG;1.40;M3; 550,000.00 ;NK;
FJ-0825-000266;20 Agu 2025;TRIPLEK 9 MM SUPER;6.00;LBR; 600,000.00 ;NK MANUAL;
FJ-0825-000267;20 Agu 2025;SEMEN MU 380 PEREKAT BTR @40 KG;1.00;ZAK; 104,000.00 ;LUNAS DIBAWA;
FJ-0825-000268;20 Agu 2025;ALCASIT SEMEN ADDITIVE;1.00;PCS; 24,000.00 ;RP.5.000;
FJ-0825-000268;20 Agu 2025;KANAL C 75X0.75 MM KENCANA;7.00;LJR; 623,000.00 ;RP.5.000;
FJ-0825-000268;20 Agu 2025;RENG GALVALUM KENCANA 0.45;4.00;LJR; 168,000.00 ;RP.5.000;
FJ-0825-000268;20 Agu 2025;GALVALUM GELOMBANG 0.3X400;4.00;LBR; 512,000.00 ;RP.5.000;
FJ-0825-000268;20 Agu 2025;DINABOL 8X65;10.00;PCS; 20,000.00 ;RP.5.000;
FJ-0825-000269;20 Agu 2025;SIKA CHAPDUR NATURAL 25KG;125.00;ZAK; 9,750,000.00 ;NK PABRIK;
FJ-0825-000270;20 Agu 2025;BESI 14 POLOS (13.9X12);15.00;LJR; 2,115,000.00 ;RP.2.135.000;
FJ-0825-000271;20 Agu 2025;MASKER ONE MED;5.00;PAK; 150,000.00 ;NK ;
